ProvinceThai,ProvinceEng
กรุงเทพมหานคร,Bangkok
สมุทรปราการ,Samut Prakan
นนทบุรี,Nonthaburi
ปทุมธานี,Pathum Thani
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
ลพบุรี,Lopburi
อ่างทอง,Ang Thong
สิงห์บุรี,Sing Buri
ชัยนาท,Chai Nat
สระบุรี,Saraburi
ชลบุรี,Chonburi
ระยอง,Rayong
จันทบุรี,Chanthaburi
ตราด,Trat
ฉะเชิงเทรา,Chachoengsao
ปราจีนบุรี,Prachinburi
นครนายก,Nakhon Nayok
สระแก้ว,Sa Kaeo
นครราชสีมา,Nakhon Ratchasima
บุรีรัมย์,Buri Ram
สุรินทร์,Surin
ศรีสะเกษ,Si Sa Ket
อุบลราชธานี,Ubon Ratchathani
ยโสธร,Yasothon
ชัยภูมิ,Chaiyaphum
อำนาจเจริญ,Amnat Charoen
บึงกาฬ,Bueng Kan
หนองบัวลำภู,Nong Bua Lamphu
ขอนแก่น,Khon Kaen
อุดรธานี,Udon Thani
เลย,Loei
หนองคาย,Nong Khai
มหาสารคาม,Maha Sarakham
ร้อยเอ็ด,Roi Et
กาฬสินธุ์,Kalasin
สกลนคร,Sakon Nakhon
นครพนม,Nakhon Phanom
มุกดาหาร,Mukdahan
เชียงใหม่,Chiang Mai
ลำพูน,Lamphun
ลำปาง,Lampang
อุตรดิตถ์,Uttaradit
แพร่,Phrae
น่าน,Nan
พะเยา,Phayao
เชียงราย,Chiang Rai
แม่ฮ่องสอน,Mae Hong Son
นครสวรรค์,Nakhon Sawan
อุทัยธานี,Uthai Thani
กำแพงเพชร,Kamphaeng Phet
ตาก,Tak
สุโขทัย,Sukhothai
พิษณุโลก,Phitsanulok
พิจิตร,Phichit
เพชรบูรณ์,Phetchabun
ราชบุรี,Ratchaburi
กาญจนบุรี,Kanchanaburi
สมุทรสาคร,Samut Sakhon
สุพรรณบุรี,Suphan Buri
นครปฐม,Nakhon Pathom
สมุทรสงคราม,Samut Songkhram
เพชรบุรี,Phetchaburi
ประจวบคีรีขันธ์,Prachuap Khiri Khan
นครศรีธรรมราช,Nakhon Si Thammarat
กระบี่,Krabi
พังงา,Phang Nga
ภูเก็ต,Phuket
สุราษฎร์ธานี,Surat Thani
ระนอง,Ranong
ชุมพร,Chumphon
สงขลา,Songkhla
สตูล,Satun
ตรัง,Trang
พัทลุง,Phatthalung
ปัตตานี,Pattani
ยะลา,Yala
นราธิวาส,Narathiwat